title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Travelers,2016,45,TV Show,Canada,English,8.1,48122,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Evil,2019,42,TV Show,United States,English,7.7,12939,2019,teen,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 Underground,2019,128,Movie,United States,English,6.1,146930,2019,adult,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lost in Space,2018,60,TV Show,United States,English,7.3,75344,2019,children,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Big Mouth,2017,30,TV Show,United States,English,7.9,60088,2020,adult,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,2002,179,Movie,New Zealand,English,8.7,1516370,2002,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moonlight,2016,111,Movie,United States,English,7.4,282381,2016,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The IT Crowd,2006,25,TV Show,United Kingdom,English,8.5,137412,2013,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar,2019,118,Movie,United States,English,6.3,79134,2019,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penny Dreadful,2014,60,TV Show,Ireland,English,8.2,113989,2016,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Z Nation,2014,44,TV Show,United States,English,6.7,33481,2018,adult,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratched,2020,\N,TV Show,United States,English,7.3,43168,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Derry Girls,2018,30,TV Show,United Kingdom,English,8.4,23292,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bates Motel,2013,45,TV Show,United States,English,8.1,99088,2017,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Tudors,2007,60,TV Show,Ireland,English,8.1,69897,2010,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The End of the F***ing World,2017,25,TV Show,United Kingdom,English,8.1,153983,2019,adult,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
